"id","parent_id","facility_level","facility_code","facility_name","type","create_by","create_time","update_by","update_time","remark","is_del","facility_type"
1544,1542,3,"4A1.CV2","4A1.CV2",3,admin,"2020-11-15 14:23:21",,,链式输送机,0,0
1545,1542,3,"4A1.FN1","4A1.FN1",3,admin,"2020-11-15 14:23:21",,,排风机,0,1
1546,1542,3,"4A1.FN2","4A1.FN2",3,admin,"2020-11-15 14:23:21",,,排风机,0,0
1547,1490,2,"46","46",2,admin,"2020-11-15 14:23:21",,,,0,
1548,1547,3,"461.MD1","461.MD1",3,admin,"2020-11-15 14:23:21",,,窑主传动电动机,0,0
1549,1547,3,"461.FA1","461.FA1",3,admin,"2020-11-15 14:23:22",,,离心通风机,0,0
1550,1490,2,"47","47",2,admin,"2020-11-15 14:23:22",,,,0,
1551,1550,3,"471.HD1","471.HD1",3,admin,"2020-11-15 14:23:22",,,空气炮主泵电机,0,1
1552,1550,3,"471.HD2","471.HD2",3,admin,"2020-11-15 14:23:22",,,空气炮主泵电机,0,1
1553,1550,3,"471.RC1","471.RC1",3,admin,"2020-11-15 14:23:22",,,熟料辊式破碎机电机,0,0
1554,1550,3,"471.FAA","471.FAA",3,admin,"2020-11-15 14:23:23",,,A11冷却风机,0,1
1555,1550,3,"471.FAB","471.FAB",3,admin,"2020-11-15 14:23:23",,,B11冷却风机,0,1
1556,1550,3,"471.FAC","471.FAC",3,admin,"2020-11-15 14:23:23",,,C11冷却风机,0,1
1557,1550,3,"471.FAD","471.FAD",3,admin,"2020-11-15 14:23:24",,,A12冷却风机,0,1
1558,1550,3,"471.FAE","471.FAE",3,admin,"2020-11-15 14:23:24",,,B12冷却风机,0,1
1559,1550,3,"471.FAF","471.FAF",3,admin,"2020-11-15 14:23:24",,,B13冷却风机,0,1
1560,1550,3,"471.FAG","471.FAG",3,admin,"2020-11-15 14:23:24",,,C12冷却风机,0,1
1561,1550,3,"471.FAH","471.FAH",3,admin,"2020-11-15 14:23:24",,,A13冷却风机,0,1
1562,1550,3,"471.FAI","471.FAI",3,admin,"2020-11-15 14:23:24",,,B14冷却风机,0,1
1563,1550,3,"471.FAJ","471.FAJ",3,admin,"2020-11-15 14:23:24",,,B15冷却风机,0,1
1564,1550,3,"471.FAK","471.FAK",3,admin,"2020-11-15 14:23:25",,,C13冷却风机,0,1
1565,1550,3,"471.FAL","471.FAL",3,admin,"2020-11-15 14:23:25",,,A14冷却风机,0,1
1566,1550,3,"471.FAM","471.FAM",3,admin,"2020-11-15 14:23:25",,,B16冷却风机,0,1
1567,1550,3,"471.FAN","471.FAN",3,admin,"2020-11-15 14:23:25",,,B17冷却风机,0,1
1568,1550,3,"471.FAP","471.FAP",3,admin,"2020-11-15 14:23:25",,,C14冷却风机,0,1
1569,1550,3,"471.FAQ","471.FAQ",3,admin,"2020-11-15 14:23:25",,,B18冷却风机,0,1
1570,1550,3,"471.FAR","471.FAR",3,admin,"2020-11-15 14:23:26",,,B21冷却风机,0,1
1571,1550,3,"471.FAS","471.FAS",3,admin,"2020-11-15 14:23:26",,,B22冷却风机,0,1
1572,1550,3,"471.FAT","471.FAT",3,admin,"2020-11-15 14:23:26",,,B23冷却风机,0,1
1573,1550,3,"471.FAU","471.FAU",3,admin,"2020-11-15 14:23:26",,,B24冷却风机,0,1
1574,1550,3,"471.FAV","471.FAV",3,admin,"2020-11-15 14:23:26",,,B25冷却风机,0,1
1575,1550,3,"471.FAW","471.FAW",3,admin,"2020-11-15 14:23:26",,,B26冷却风机,0,1
1576,1550,3,"471.FAX","471.FAX",3,admin,"2020-11-15 14:23:26",,,B27冷却风机,0,1
1577,1550,3,"471.CV1","471.CV1",3,admin,"2020-11-15 14:23:27",,,链式输送机,0,1
1578,1550,3,"471.CV2","471.CV2",3,admin,"2020-11-15 14:23:27",,,链式输送机,0,0
1579,1550,3,"471.CV3","471.CV3",3,admin,"2020-11-15 14:23:27",,,链式输送机,0,0
1580,1550,3,"471.CV4","471.CV4",3,admin,"2020-11-15 14:23:27",,,链式输送机,0,0
1581,1550,3,"471.CV5","471.CV5",3,admin,"2020-11-15 14:23:27",,,链式输送机,0,0
1582,1550,3,"471.FN1","471.FN1",3,admin,"2020-11-15 14:23:27",,,窑头排风机,0,0
1583,1490,2,"48","48",2,admin,"2020-11-15 14:23:27",,,,0,
1584,1583,3,"481.BL2","481.BL2",3,admin,"2020-11-15 14:23:27",,,一次风机电动机,0,0
1585,1583,3,"481.BL3","481.BL3",3,admin,"2020-11-15 14:23:28",,,一次风机电动机,0,0
1586,0,1,"5","5",1,admin,"2020-11-15 14:23:28",,,,0,
1587,1586,2,"51","51",2,admin,"2020-11-15 14:23:28",,,,0,
1588,1587,3,"51A.BC1","51A.BC1",3,admin,"2020-11-15 14:23:28",,,带式输送机,0,0
1589,1587,3,"51B.BC1","51B.BC1",3,admin,"2020-11-15 14:23:28",,,带式输送机,0,0
1590,1587,3,"51C.BC1","51C.BC1",3,admin,"2020-11-15 14:23:28",,,带式输送机,0,0
1591,1587,3,"51D.BC1","51D.BC1",3,admin,"2020-11-15 14:23:28",,,带式输送机,0,0
1592,1587,3,"51E.BC1","51E.BC1",3,admin,"2020-11-15 14:23:29",,,带式输送机,0,0
1593,1478,2,L6,L6,2,admin,"2020-11-15 14:23:29",,,,0,
1594,1593,3,L61.MD1,L61.MD1,3,admin,"2020-11-15 14:23:29",,,煤磨主电动机,0,0
1595,1593,3,L61.SR1,L61.SR1,3,admin,"2020-11-15 14:23:29",,,煤磨选粉机,0,0
1596,1593,3,L61.FAA,L61.FAA,3,admin,"2020-11-15 14:23:29",,,密封风机,0,1
1597,1593,3,L61.FN1,L61.FN1,3,admin,"2020-11-15 14:23:29",,,煤磨排风机,0,0
1598,1490,2,"45","45",2,admin,"2020-11-15 14:23:30",,,,0,
1599,1598,3,"451.PF1","451.PF1",3,admin,"2020-11-15 14:23:30",,,煤粉计量秤,0,0
