"id","company_id","facility_one","facility_two","facility_three","monitor_id","plant_id","cost_id","sensor_status","energy","service_time","total_time","sensor_type","sensor_value","create_by","create_time","update_by","update_time","remark","is_del","original_value","batch_time","packet","conversion_id","sensor_id","voltage","facility_type"
8580729,14,"1247","1364","1366",2888,,18,0,,,,2,0.130,自动生成,"2020-11-14 00:00:03",,,,0,"7e7e1218a103000000000033000000000013000000000013000000000002000032017112000000001000008000f5667f7f","2020-11-14 00:10:00",,7144,2907,0.0,
8580730,14,"1247","1364","1366",2888,,18,0,,,,1,0.000,自动生成,"2020-11-14 00:00:03",,,,0,"7e7e1218a103000000000033000000000013000000000013000000000002000032017112000000001000008000f5667f7f","2020-11-14 00:10:00",,7143,2907,0.0,
8580731,14,"1247","1364","1366",2888,,18,0,,,,0,0.000,自动生成,"2020-11-14 00:00:03",,,,0,"7e7e1218a103000000000033000000000013000000000013000000000002000032017112000000001000008000f5667f7f","2020-11-14 00:10:00",,7142,2907,0.0,
8580732,14,"1252","1259","1260",2696,,10,0,,,,7,15.600,自动生成,"2020-11-14 00:00:03",,,,0,"7e7e1298a103000000000033000000000000000000000000000000000000000030015612000000001000008000c4997f7f","2020-11-14 00:10:00",,6186,2715,0.0,
8580733,14,"1252","1259","1260",2696,,10,,,,,3,,自动生成,"2020-11-14 00:00:03",,,,0,"7e7e1298a103000000000033000000000000000000000000000000000000000030015612000000001000008000c4997f7f","2020-11-14 00:10:00",,6185,2715,,
8580734,14,"1252","1259","1260",2696,,10,0,,,,2,0.000,自动生成,"2020-11-14 00:00:03",,,,0,"7e7e1298a103000000000033000000000000000000000000000000000000000030015612000000001000008000c4997f7f","2020-11-14 00:10:00",,6184,2715,0.0,
8580735,14,"1252","1259","1260",2696,,10,0,,,,1,0.000,自动生成,"2020-11-14 00:00:03",,,,0,"7e7e1298a103000000000033000000000000000000000000000000000000000030015612000000001000008000c4997f7f","2020-11-14 00:10:00",,6183,2715,0.0,
8580736,14,"1252","1259","1260",2696,,10,0,,,,0,0.000,自动生成,"2020-11-14 00:00:03",,,,0,"7e7e1298a103000000000033000000000000000000000000000000000000000030015612000000001000008000c4997f7f","2020-11-14 00:10:00",,6182,2715,0.0,
8580737,14,"1247","1248","1294",2735,,12,0,,,,7,18.100,自动生成,"2020-11-14 00:00:04",,,,0,"7e7e1032a103000000000033000000000000000000000000000000000000000032018112000000001000008000c1997f7f","2020-11-14 00:10:00",,6381,2754,0.0,
8580738,14,"1247","1248","1294",2735,,12,,,,,3,,自动生成,"2020-11-14 00:00:04",,,,0,"7e7e1032a103000000000033000000000000000000000000000000000000000032018112000000001000008000c1997f7f","2020-11-14 00:10:00",,6380,2754,,
8580739,14,"1247","1248","1294",2735,,12,0,,,,2,0.000,自动生成,"2020-11-14 00:00:04",,,,0,"7e7e1032a103000000000033000000000000000000000000000000000000000032018112000000001000008000c1997f7f","2020-11-14 00:10:00",,6379,2754,0.0,
8580740,14,"1247","1248","1294",2735,,12,0,,,,1,0.000,自动生成,"2020-11-14 00:00:04",,,,0,"7e7e1032a103000000000033000000000000000000000000000000000000000032018112000000001000008000c1997f7f","2020-11-14 00:10:00",,6378,2754,0.0,
8580741,14,"1247","1248","1294",2735,,12,0,,,,0,0.000,自动生成,"2020-11-14 00:00:04",,,,0,"7e7e1032a103000000000033000000000000000000000000000000000000000032018112000000001000008000c1997f7f","2020-11-14 00:10:00",,6377,2754,0.0,
8580742,14,"1247","1364","1366",2896,,18,0,,,,7,16.700,自动生成,"2020-11-14 00:00:04",,,,0,"7e7e1297a103000000000033000000000000000000000000000000000000000031016712000000001000008000a27b7f7f","2020-11-14 00:10:00",,7186,2915,0.0,
8580743,14,"1247","1364","1366",2896,,18,,,,,3,,自动生成,"2020-11-14 00:00:04",,,,0,"7e7e1297a103000000000033000000000000000000000000000000000000000031016712000000001000008000a27b7f7f","2020-11-14 00:10:00",,7185,2915,,
8580744,14,"1247","1364","1366",2896,,18,0,,,,2,0.000,自动生成,"2020-11-14 00:00:04",,,,0,"7e7e1297a103000000000033000000000000000000000000000000000000000031016712000000001000008000a27b7f7f","2020-11-14 00:10:00",,7184,2915,0.0,
8580745,14,"1247","1364","1366",2896,,18,0,,,,1,0.000,自动生成,"2020-11-14 00:00:04",,,,0,"7e7e1297a103000000000033000000000000000000000000000000000000000031016712000000001000008000a27b7f7f","2020-11-14 00:10:00",,7183,2915,0.0,
8580746,14,"1247","1364","1366",2896,,18,0,,,,0,0.000,自动生成,"2020-11-14 00:00:04",,,,0,"7e7e1297a103000000000033000000000000000000000000000000000000000031016712000000001000008000a27b7f7f","2020-11-14 00:10:00",,7182,2915,0.0,
8580747,14,"1247","1250","1330",2810,,13,0,,,,7,15.300,自动生成,"2020-11-14 00:00:05",,,,0,"7e7e1128a103000000000033000000110015000000070017000000010003000031015312000000001000008000d9a47f7f","2020-11-14 00:10:00",,6756,2829,0.0,
8580748,14,"1247","1250","1330",2810,,13,,,,,3,,自动生成,"2020-11-14 00:00:05",,,,0,"7e7e1128a103000000000033000000110015000000070017000000010003000031015312000000001000008000d9a47f7f","2020-11-14 00:10:00",,6755,2829,,
8580749,14,"1247","1250","1330",2810,,13,0,,,,2,0.170,自动生成,"2020-11-14 00:00:05",,,,0,"7e7e1128a103000000000033000000110015000000070017000000010003000031015312000000001000008000d9a47f7f","2020-11-14 00:10:00",,6754,2829,0.0,
8580750,14,"1247","1250","1330",2810,,13,0,,,,1,0.070,自动生成,"2020-11-14 00:00:05",,,,0,"7e7e1128a103000000000033000000110015000000070017000000010003000031015312000000001000008000d9a47f7f","2020-11-14 00:10:00",,6753,2829,0.0,
8580751,14,"1247","1250","1330",2810,,13,0,,,,0,0.000,自动生成,"2020-11-14 00:00:05",,,,0,"7e7e1128a103000000000033000000110015000000070017000000010003000031015312000000001000008000d9a47f7f","2020-11-14 00:10:00",,6752,2829,0.0,
8580752,14,"1247","1250","1325",2801,,12,0,,,,7,16.300,自动生成,"2020-11-14 00:00:05",,,,0,"7e7e1095a10300000000003300000000000000000000000000000000000000003001631200000000100000800055137f7f","2020-11-14 00:10:00",,6711,2820,0.0,
8580753,14,"1247","1250","1325",2801,,12,,,,,3,,自动生成,"2020-11-14 00:00:05",,,,0,"7e7e1095a10300000000003300000000000000000000000000000000000000003001631200000000100000800055137f7f","2020-11-14 00:10:00",,6710,2820,,
8580754,14,"1247","1250","1325",2801,,12,0,,,,2,0.000,自动生成,"2020-11-14 00:00:05",,,,0,"7e7e1095a10300000000003300000000000000000000000000000000000000003001631200000000100000800055137f7f","2020-11-14 00:10:00",,6709,2820,0.0,
8580755,14,"1247","1250","1325",2801,,12,0,,,,1,0.000,自动生成,"2020-11-14 00:00:05",,,,0,"7e7e1095a10300000000003300000000000000000000000000000000000000003001631200000000100000800055137f7f","2020-11-14 00:10:00",,6708,2820,0.0,
8580756,14,"1247","1250","1325",2801,,12,0,,,,0,0.000,自动生成,"2020-11-14 00:00:05",,,,0,"7e7e1095a10300000000003300000000000000000000000000000000000000003001631200000000100000800055137f7f","2020-11-14 00:10:00",,6707,2820,0.0,
8580757,14,"1247","1364","1365",2877,,18,0,,,,7,21.800,自动生成,"2020-11-14 00:00:05",,,,0,"7e7e1362a10300000000003300000000000000000000000000000000000000003202181200000000100000800009987f7f","2020-11-14 00:10:00",,7091,2896,0.0,
